id_descriptions,category_description,abbreviation,description,range,,,
,experience_level,SE,,,,,EN: Entry-level / Junior
,experience_level,MI,,,,,MI: Mid-level / Intermediate
,experience_level,EN,,,,,SE: Senior-level / Expert
,experience_level,EX,,,,,EX: Executive-level / Director
,employment_type,CT,,,,,employment_type: The type of employement for the role:
,employment_type,FL,,,,,PT: Part-time
,employment_type,FT,,,,,FT: Full-time
,employment_type,PT,,,,,CT: Contract
,remote_ratio,0,,,,,FL: Freelance
,remote_ratio,50,,,,,
,remote_ratio,100,,,,,
,company_size,L,Large,>250 employees,,,
,company_size,M,Medium,50 - 249 employees,,,
,company_size,S,Smaill,<= 49 employees,,,
,salary_currency,USD,,,,,
,salary_currency,EUR,,,,,
,salary_currency,GBP,,,,,
,salary_currency,CAD,,,,,
,salary_currency,AUD,,,,,
,salary_currency,INR,,,,,
,salary_currency,PLN,,,,,
,salary_currency,BRL,,,,,
,salary_currency,PHP,,,,,
,salary_currency,TRY,,,,,
,salary_currency,CHF,,,,,
,salary_currency,NOK,,,,,
,salary_currency,JPY,,,,,
,salary_currency,ZAR,,,,,
,salary_currency,HKD,,,,,
,salary_currency,SGD,,,,,
,salary_currency,ILS,,,,,
,salary_currency,THB,,,,,
,salary_currency,HUF,,,,,
,salary_currency,DKK,,,,,
,salary_currency,MXN,,,,,
,salary_currency,CLP,,,,,
,location,US,,,,,
,location,CA,,,,,
,location,DE,,,,,
,location,EG,,,,,
,location,IN,,,,,
,location,GB,,,,,
,location,PT,,,,,
,location,IE,,,,,
,location,ZA,,,,,
,location,AU,,,,,
,location,NZ,,,,,
,location,HU,,,,,
,location,ES,,,,,
,location,VN,,,,,
,location,NG,,,,,
,location,PH,,,,,
,location,PL,,,,,
,location,FR,,,,,
,location,CZ,,,,,
,location,NL,,,,,
,location,PK,,,,,
,location,UA,,,,,
,location,LT,,,,,
,location,UG,,,,,
,location,CO,,,,,
,location,IT,,,,,
,location,SI,,,,,
,location,RO,,,,,
,location,GR,,,,,
,location,LV,,,,,
,location,MU,,,,,
,location,AM,,,,,
,location,HR,,,,,
,location,TH,,,,,
,location,KR,,,,,
,location,EE,,,,,
,location,TR,,,,,
,location,BR,,,,,
,location,QA,,,,,
,location,RU,,,,,
,location,KE,,,,,
,location,TN,,,,,
,location,GH,,,,,
,location,BE,,,,,
,location,CH,,,,,
,location,AD,,,,,
,location,EC,,,,,
,location,PE,,,,,
,location,MX,,,,,
,location,MD,,,,,
,location,SA,,,,,
,location,NO,,,,,
,location,AR,,,,,
,location,UZ,,,,,
,location,GE,,,,,
,location,JP,,,,,
,location,HK,,,,,
,location,CF,,,,,
,location,FI,,,,,
,location,IL,,,,,
,location,AT,,,,,
,location,SG,,,,,
,location,SE,,,,,
,location,KW,,,,,
,location,CY,,,,,
,location,BA,,,,,
,location,IR,,,,,
,location,AS,,,,,
,location,CN,,,,,
,location,CR,,,,,
,location,CL,,,,,
,location,PR,,,,,
,location,DK,,,,,
,location,BO,,,,,
,location,DO,,,,,
,location,ID,,,,,
,location,AE,,,,,
,location,MY,,,,,
,location,HN,,,,,
,location,DZ,,,,,
,location,IQ,,,,,
,location,BG,,,,,
,location,JE,,,,,
,location,RS,,,,,
,location,LU,,,,,
,location,MT,,,,,
,location,GI,,,,,
,location,BS,,,,,